time_step,crop,source_LUT,pixels,yield_minimum,yield_mean,yield_maximum
75,Cacao,agroforestry,319442,63888.4,287497.8,511107.2
75,Coffee,agroforestry,273,35.49,38.22,40.95
75,Plantano,agroforestry,50197,501.97,241949.54,483397.11
75,Maize,cropland-annual,7568,1059.52,7795.04,14530.56
75,Cassava,cropland-annual,1575,15.75,9434.25,18852.75
76,Cacao,agroforestry,320846,64169.2,288761.4,513353.6
76,Coffee,agroforestry,274,35.62,38.36,41.1
76,Plantano,agroforestry,50417,504.17,243009.94,485515.71
76,Maize,cropland-annual,7593,1063.02,7820.79,14578.56
76,Cassava,cropland-annual,1580,15.8,9464.2,18912.6
77,Cacao,agroforestry,322279,64455.8,290051.1,515646.4
77,Coffee,agroforestry,276,35.88,38.64,41.4
77,Plantano,agroforestry,50643,506.43,244099.26,487692.09
77,Maize,cropland-annual,7617,1066.38,7845.51,14624.64
77,Cassava,cropland-annual,1585,15.85,9494.15,18972.45
78,Cacao,agroforestry,323674,64734.8,291306.6,517878.4
78,Coffee,agroforestry,277,36.01,38.78,41.55
78,Plantano,agroforestry,50862,508.62,245154.84,489801.06
78,Maize,cropland-annual,7642,1069.88,7871.26,14672.64
78,Cassava,cropland-annual,1590,15.9,9524.1,19032.3
79,Cacao,agroforestry,325101,65020.2,292590.9,520161.6
79,Coffee,agroforestry,278,36.14,38.92,41.7
79,Plantano,agroforestry,51086,510.86,246234.52,491958.18
79,Maize,cropland-annual,7668,1073.52,7898.04,14722.56
79,Cassava,cropland-annual,1596,15.96,9560.04,19104.12
80,Cacao,agroforestry,326637,65327.4,293973.3,522619.2
80,Coffee,agroforestry,279,36.27,39.06,41.85
80,Plantano,agroforestry,51327,513.27,247396.14,494279.01
80,Maize,cropland-annual,7696,1077.44,7926.88,14776.32
80,Cassava,cropland-annual,1601,16.01,9589.99,19163.97
81,Cacao,agroforestry,328132,65626.4,295318.8,525011.2
81,Coffee,agroforestry,281,36.53,39.34,42.15
81,Plantano,agroforestry,51562,515.62,248528.84,496542.06
81,Maize,cropland-annual,7724,1081.36,7955.72,14830.08
81,Cassava,cropland-annual,1607,16.07,9625.93,19235.79
82,Cacao,agroforestry,329664,65932.8,296697.6,527462.4
82,Coffee,agroforestry,282,36.66,39.48,42.3
82,Plantano,agroforestry,51803,518.03,249690.46,498862.89
82,Maize,cropland-annual,7751,1085.14,7983.53,14881.92
82,Cassava,cropland-annual,1613,16.13,9661.87,19307.61
83,Cacao,agroforestry,331154,66230.8,298038.6,529846.4
83,Coffee,agroforestry,283,36.79,39.62,42.45
83,Plantano,agroforestry,52037,520.37,250818.34,501116.31
83,Maize,cropland-annual,7777,1088.78,8010.31,14931.84
83,Cassava,cropland-annual,1618,16.18,9691.82,19367.46
